ITEM_UID_NO,ARG_PART_NO,PART_DESC
403685,BDA251     ETI,FOOTLOOSE RUBBER GASKET TOOL
431815,WSKF2724   PRC,07-08 TOYOTA TUNDRA- 08 SEQUOI
441873,EHE160     ETI,3IN X 14IN EXPRESS HYDROBLADE
476213,WSKD1843   PRC,EXPLORER OUTER SIDE MOLDINGS
443483,GGG3394    GGC,1PC- 3/4 MOULDING
516753,537168-EA  SIC,SIKA DRIVE 1 CARTRIDGE
480053,GGGFW4265  GGC,1 PC - TOP MLDG - UNDERSIDE
481863,PCK-4263-18PCC,12 PC MOLDING CLIP KIT
481204,USMF5028   PCC,19 KIA FORTE 4DR SEDAN
443673,154884     SIK,1=PC AKTIVATOR PRO 250ML CAN
475351,USMF5156   PRC,UNDERSIDE MOLDING
401789,WLS900     PRC,L/STRP BLACK DODGE PU/VAN
440813,1158       GLD,3/4 MLDG FLEXIBLE
439026,ET107B75   GLD,34 20MM X 75  W BUTYL
438920,42272      DYM,SCRUBS HAND CLEANER WIPES 72
454433,PUGM6      MCY,U/G MLDING 9.5MM X 75FT SPONGE
485086,GR-MB8     GLR,REBEL 8.5 MED BLADE
453308,WFTF3621   PRC,1PC- TOP MOULDING
475644,WFTF2734   PRC,2007 NISSAN ALTIMA SDN
