"ITEM_UID_NO"	"ARG2000.F_GET_PART_FITS(P.PART_NO,P.CATGRY_CD)"
440787	"VOLVO (S60 [2011-2018])"
440839	"NISSAN (JUKE [2011-2017])"
441045	"CHRYSLER (200 [2011-2014], CIRRUS (MEX) [2011-2011])"
441355	"KIA (SPORTAGE [2011-2016])"
409600	"CHRYSLER (TOWN & COUNTRY [2004-2007], TOWN & COUNTRY SWB [2004-2007], VOYAGER [2004-2004], VOYAGER (MEX) [2005-2008]); DODGE (CARAVAN [2004-2007], GRAND CARAVAN [2004-2007])"
409818	"INFINITI (QX56 [2004-2010]); NISSAN (ARMADA [2005-2015], PATHFINDER ARMADA [2004-2004])"
409868	"INFINITI (QX56 [2004-2006]); NISSAN (ARMADA [2005-2015], PATHFINDER ARMADA [2004-2004], TITAN [2004-2015])"
409870	"NISSAN (QUEST [2004-2010])"
411147	"BMW (X3 [2004-2010])"
411169	"MITSUBISHI (GALANT [2004-2012])"
411298	"BMW (X3 [2004-2010])"
411301	"TOYOTA (HIGHLANDER [2004-2007])"
411304	"KIA (AMANTI [2004-2006])"
411305	"BMW (X3 [2004-2010])"
411313	"MITSUBISHI (GALANT [2004-2008])"
418620	"CHEVROLET (STANDARD [1955-1959]); GMC (STANDARD [1955-1959])"
434685	"FORD (F SERIESF150 [2009-2014], LOBO (MEX) [2009-2014])"
434689	"FORD (F SERIESF150 [2009-2014], LOBO (MEX) [2009-2014])"
410038	"AUDI (A6 [1999-1999], A6 V-6 ENG [2000-2005], ALLROAD QUATTRO [2001-2005])"

